Order ID,Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
WOWID0001,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,407.976,3,0.2,132.5922
WOWID0002,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858
WOWID0003,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,2.544,3,0.8,-3.816
WOWID0004,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522
WOWID0005,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,9.618,2,0.7,-7.0532
WOWID0006,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,124.2,3,0.2,15.525
WOWID0007,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016
WOWID0008,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,86.304,6,0.2,9.7092
WOWID0009,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.858,6,0.7,-5.715
WOWID0010,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,15.76,2,0.2,3.546
WOWID0011,First Class,Corporate,Richardson,Texas,Central,Technology,Phones,1097.544,7,0.2,123.4737
WOWID0012,First Class,Corporate,Richardson,Texas,Central,Furniture,Furnishings,190.92,5,0.6,-147.963
WOWID0013,Standard Class,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415
WOWID0014,Standard Class,Home Office,Houston,Texas,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764
WOWID0015,Standard Class,Home Office,Houston,Texas,Central,Furniture,Chairs,212.058,3,0.3,-15.147
WOWID0016,Standard Class,Home Office,Houston,Texas,Central,Technology,Phones,371.168,4,0.2,41.7564
WOWID0017,Standard Class,Corporate,Naperville,Illinois,Central,Technology,Phones,147.168,4,0.2,16.5564
WOWID0018,Standard Class,Home Office,Chicago,Illinois,Central,Furniture,Chairs,213.115,5,0.3,-15.2225
WOWID0019,First Class,Corporate,Houston,Texas,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344
WOWID0020,First Class,Corporate,Houston,Texas,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248
